author,month,rank,review,title,year
by Phil Knight,3.0,7.0,,SHOE DOG,2017.0
by Adam Grant,3.0,8.0,,ORIGINALS,2017.0
by Angela Duckworth,3.0,9.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2017.0
by Beth Kobliner,3.0,10.0,,MAKE YOUR KID A MONEY GENIUS (EVEN IF YOU'RE NOT),2017.0
by Tony Robbins with Peter Mallouk,4.0,1.0,,UNSHAKABLE,2017.0
by Chip Gaines and Joanna Gaines with Mark Dagostino,4.0,2.0,,THE MAGNOLIA STORY,2017.0
by Tim Ferriss,4.0,3.0,,TOOLS OF TITANS,2017.0
by Thomas L. Friedman,4.0,4.0,https://www.nytimes.com/2016/11/22/books/review/thomas-friedman-thank-you-for-being-late.html,THANK YOU FOR BEING LATE,2017.0
by Michael Lewis,4.0,5.0,,THE UNDOING PROJECT,2017.0
by Daniel Kahneman,4.0,6.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2017.0
by Adam Grant,4.0,7.0,,ORIGINALS,2017.0
by Angela Duckworth,4.0,8.0,https://www.nytimes.com/2016/05/08/books/review/grit-by-angela-duckworth.html,GRIT,2017.0
