author,month,rank,review,title,year
by Tony Robbins,5.0,4.0,,MONEY: MASTER THE GAME,2015.0
by Charles Duhigg,5.0,5.0,,THE POWER OF HABIT,2015.0
by Laszlo Bock,5.0,6.0,,WORK RULES!,2015.0
by Steven D. Levitt and Stephen J. Dubner,5.0,7.0,,THINK LIKE A FREAK,2015.0
by Daniel Kahneman,5.0,8.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2015.0
by Malcolm Gladwell,5.0,9.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2015.0
by Daniel Lubetzky,5.0,10.0,,DO THE KIND THING,2015.0
by Ashlee Vance,6.0,1.0,,ELON MUSK,2015.0
"by Laurence J. Kotlikoff, Philip Moeller and Paul Solman",6.0,2.0,,GET WHAT'S YOURS,2015.0
by Steven D. Levitt and Stephen J. Dubner,6.0,3.0,,WHEN TO ROB A BANK,2015.0
by Malcolm Gladwell,6.0,4.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2015.0
by Charles Duhigg,6.0,5.0,,THE POWER OF HABIT,2015.0
by Sheryl Sandberg with Nell Scovell,6.0,6.0,https://www.nytimes.com/2013/03/07/books/sheryl-sandbergs-lean-in.html,LEAN IN,2015.0
by Daniel Kahneman,6.0,7.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2015.0
"by Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell",6.0,8.0,,TEAM OF TEAMS,2015.0
by Henry M. Paulson Jr.,6.0,9.0,,DEALING WITH CHINA,2015.0
by Tony Robbins,6.0,10.0,,MONEY: MASTER THE GAME,2015.0
by Marshall Goldsmith and Mark Reiter,7.0,1.0,,TRIGGERS,2015.0
by Malcolm Gladwell,7.0,2.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2015.0
by Ashlee Vance,7.0,3.0,,ELON MUSK,2015.0
"by Laurence J. Kotlikoff, Philip Moeller and Paul Solman",7.0,4.0,,GET WHAT'S YOURS,2015.0
by Daniel Kahneman,7.0,5.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2015.0
by Charles Duhigg,7.0,6.0,,THE POWER OF HABIT,2015.0
"by Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell",7.0,7.0,,TEAM OF TEAMS,2015.0
by Sheryl Sandberg with Nell Scovell,7.0,8.0,https://www.nytimes.com/2013/03/07/books/sheryl-sandbergs-lean-in.html,LEAN IN,2015.0
by Steven D. Levitt and Stephen J. Dubner,7.0,9.0,,FREAKONOMICS,2015.0
by Tony Robbins,7.0,10.0,,MONEY: MASTER THE GAME,2015.0
by Malcolm Gladwell,9.0,1.0,https://www.nytimes.com/2008/11/18/books/18kaku.html,OUTLIERS,2015.0
"by Laurence J. Kotlikoff, Philip Moeller and Paul Solman",9.0,2.0,,GET WHAT'S YOURS,2015.0
by Daniel Kahneman,9.0,3.0,https://www.nytimes.com/2011/11/27/books/review/thinking-fast-and-slow-by-daniel-kahneman-book-review.html,"THINKING, FAST AND SLOW",2015.0
by Ashlee Vance,9.0,4.0,,ELON MUSK,2015.0
by Charles Duhigg,9.0,5.0,,THE POWER OF HABIT,2015.0
by Tony Robbins,9.0,6.0,,MONEY: MASTER THE GAME,2015.0
by Steven D. Levitt and Stephen J. Dubner,9.0,7.0,,FREAKONOMICS,2015.0
